"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"242936204721520640","","","","","2012-09-04 10:44:39 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","?? VirtualBox 4.1.18 ?? Mac ?????? Ubuntu ???"
"242050318593032192","","","","","2012-09-02 00:04:27 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","???????????360??????????????????????????qq??????????????360???????????????????????????????"
"242043763592159233","","","","","2012-09-01 23:38:24 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","??????????????????????????"
"242043633015091200","","","","","2012-09-01 23:37:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","????????????????????9?????????????????????????????"
"241739548269359104","241734219406114816","22938360","","","2012-09-01 03:29:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kevinzhow ????????"
"241691326666657792","","","","","2012-09-01 00:17:57 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","??????????????????????????????????????????????????"
"240121254894510080","240119212213948416","121908437","","","2012-08-27 16:19:03 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","@tualatrix @chloerei ?????"
"239961270688821248","239957491016937472","121908437","","","2012-08-27 05:43:19 +0000","web","@tualatrix ?????????????????? @celineyang0_0 ??????????????????"
"239960997723521024","","","","","2012-08-27 05:42:14 +0000","web","virtualbox ????"
"238801634220711937","238605432292261888","121908437","","","2012-08-24 00:55:20 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@tualatrix ???lbe????"
"238134960731598849","","","","","2012-08-22 04:46:13 +0000","web","????? berserkJS for Mac http://t.co/OyOZOw7A ML ???????Lion ????????","http://t.cn/zWRamoZ"
"236321793277849600","","","236315863295356929","14431842","2012-08-17 04:41:20 +0000","web","RT @uponsnow: ???, ????, ???? RT @degewa: ?????????????????????????????????????????????????????????????????????????????????????????????"
"236309830955061248","","","","","2012-08-17 03:53:48 +0000","web","lol. coffeefilter is so great. https://t.co/aGNeVmMq","https://github.com/gjohnson/coffeefilter"
"236309711690018816","236256358276673537","29255412","","","2012-08-17 03:53:20 +0000","web","@tjholowaychuk pretty awesome!"
"236309619075600384","","","236256358276673537","29255412","2012-08-17 03:52:58 +0000","web","RT @tjholowaychuk: amazing https://t.co/b6d4njLk #nodejs","https://github.com/gjohnson/coffeefilter"
